2019-07-15 18:10:43 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 18:10:47 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 18:10:47 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (bfcc6d2d16ee48ea77a7c8b5ed59548f)] -> css selector: [name='txtUsername']]
2019-07-15 18:10:47 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (bfcc6d2d16ee48ea77a7c8b5ed59548f)] -> css selector: [name='txtPassword']]
2019-07-15 18:10:47 INFO  Log:27 - Login credentails are provided
2019-07-15 18:10:52 INFO  Log:27 - Login button is clicked
2019-07-15 18:10:52 INFO  Log:27 - Closed the Browser
2019-07-15 18:10:52 INFO  Log:27 - test case ended
2019-07-15 18:10:56 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 18:10:59 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 18:10:59 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (49efc029f62872161678a68ecf9fecd6)] -> css selector: [name='txtUsername']]
2019-07-15 18:10:59 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (49efc029f62872161678a68ecf9fecd6)] -> css selector: [name='txtPassword']]
2019-07-15 18:10:59 INFO  Log:27 - Login credentails are provided
2019-07-15 18:11:04 INFO  Log:27 - Login button is clicked
2019-07-15 18:11:04 INFO  Log:27 - Closed the Browser
2019-07-15 18:11:04 INFO  Log:27 - test case ended
2019-07-15 18:11:08 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 18:11:11 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 18:11:11 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (fc30fd9a02d775e60b355c84797db4fa)] -> css selector: [name='txtUsername']]
2019-07-15 18:11:12 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (fc30fd9a02d775e60b355c84797db4fa)] -> css selector: [name='txtPassword']]
2019-07-15 18:11:12 INFO  Log:27 - Login credentails are provided
2019-07-15 18:11:16 INFO  Log:27 - Login button is clicked
2019-07-15 18:11:16 INFO  Log:27 - Closed the Browser
2019-07-15 18:11:17 INFO  Log:27 - test case ended
2019-07-15 18:11:20 INFO  Log:27 - The URL of Orange HRM is loaded.
2019-07-15 18:11:32 INFO  Log:27 - Login Page of Orange HRM is displayed.
2019-07-15 18:11:32 INFO  Log:27 - Enter username:[[ChromeDriver: chrome on XP (affb7d94f4fa53394ed7e3d792184234)] -> css selector: [name='txtUsername']]
2019-07-15 18:11:32 INFO  Log:27 - Enter password:[[ChromeDriver: chrome on XP (affb7d94f4fa53394ed7e3d792184234)] -> css selector: [name='txtPassword']]
2019-07-15 18:11:32 INFO  Log:27 - Login credentails are provided
2019-07-15 18:11:36 INFO  Log:27 - Login button is clicked
2019-07-15 18:11:36 INFO  Log:27 - Closed the Browser
2019-07-15 18:11:37 INFO  Log:27 - test case ended
